control,ano,kilogram,categoria,subcategoria,tipo_estilo,origem,classificacao,total
tintas_alphonse_lavallee,1989,0.0,tintas,alphonse,,,,0
tintas_mosem_classificacaoato_de_hamburgo,1989,0.0,tintas,mosem,,,,0
brancas,1989,0.0,brancas,,,,,1
brancas_rosadas_cardinal,1989,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_golden_queen,1989,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_patricia,1989,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_perlona,1989,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_italia,1989,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_rubi_italia_italia_ro,1989,0.0,brancas_rosadas,rosadas,,,,0
tintas,1990,157262.0,tintas,,,,,1
tintas_alphonse_lavallee,1990,0.0,tintas,alphonse,,,,0
tintas_mosem_classificacaoato_de_hamburgo,1990,0.0,tintas,mosem,,,,0
brancas,1990,0.0,brancas,,,,,1
brancas_rosadas_cardinal,1990,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_golden_queen,1990,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_patricia,1990,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_perlona,1990,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_italia,1990,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_rubi_italia_italia_ro,1990,0.0,brancas_rosadas,rosadas,,,,0
tintas,1991,104326.0,tintas,,,,,1
tintas_alphonse_lavallee,1991,0.0,tintas,alphonse,,,,0
tintas_mosem_classificacaoato_de_hamburgo,1991,0.0,tintas,mosem,,,,0
brancas,1991,0.0,brancas,,,,,1
brancas_rosadas_cardinal,1991,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_golden_queen,1991,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_patricia,1991,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_perlona,1991,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_italia,1991,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_rubi_italia_italia_ro,1991,0.0,brancas_rosadas,rosadas,,,,0
tintas,1992,94021.0,tintas,,,,,1
tintas_alphonse_lavallee,1992,0.0,tintas,alphonse,,,,0
tintas_mosem_classificacaoato_de_hamburgo,1992,0.0,tintas,mosem,,,,0
brancas,1992,0.0,brancas,,,,,1
brancas_rosadas_cardinal,1992,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_golden_queen,1992,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_patricia,1992,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_perlona,1992,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_italia,1992,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_rubi_italia_italia_ro,1992,0.0,brancas_rosadas,rosadas,,,,0
tintas,1993,0.0,tintas,,,,,1
tintas_alphonse_lavallee,1993,0.0,tintas,alphonse,,,,0
tintas_mosem_classificacaoato_de_hamburgo,1993,0.0,tintas,mosem,,,,0
brancas,1993,0.0,brancas,,,,,1
brancas_rosadas_cardinal,1993,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_golden_queen,1993,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_patricia,1993,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_perlona,1993,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_italia,1993,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_rubi_italia_italia_ro,1993,0.0,brancas_rosadas,rosadas,,,,0
tintas,1994,3852587.0,tintas,,,,,1
tintas_alphonse_lavallee,1994,0.0,tintas,alphonse,,,,0
tintas_mosem_classificacaoato_de_hamburgo,1994,0.0,tintas,mosem,,,,0
brancas,1994,0.0,brancas,,,,,1
brancas_rosadas_cardinal,1994,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_golden_queen,1994,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_patricia,1994,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_perlona,1994,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_italia,1994,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_rubi_italia_italia_ro,1994,0.0,brancas_rosadas,rosadas,,,,0
tintas,1995,80197.0,tintas,,,,,1
tintas_alphonse_lavallee,1995,0.0,tintas,alphonse,,,,0
tintas_mosem_classificacaoato_de_hamburgo,1995,0.0,tintas,mosem,,,,0
brancas,1995,0.0,brancas,,,,,1
brancas_rosadas_cardinal,1995,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_golden_queen,1995,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_patricia,1995,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_perlona,1995,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_italia,1995,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_rubi_italia_italia_ro,1995,0.0,brancas_rosadas,rosadas,,,,0
tintas,1996,1389173.0,tintas,,,,,1
tintas_alphonse_lavallee,1996,0.0,tintas,alphonse,,,,0
tintas_mosem_classificacaoato_de_hamburgo,1996,0.0,tintas,mosem,,,,0
brancas,1996,0.0,brancas,,,,,1
brancas_rosadas_cardinal,1996,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_golden_queen,1996,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_patricia,1996,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_perlona,1996,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_italia,1996,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_rubi_italia_italia_ro,1996,0.0,brancas_rosadas,rosadas,,,,0
tintas,1997,374934.0,tintas,,,,,1
tintas_alphonse_lavallee,1997,0.0,tintas,alphonse,,,,0
tintas_mosem_classificacaoato_de_hamburgo,1997,0.0,tintas,mosem,,,,0
brancas,1997,0.0,brancas,,,,,1
brancas_rosadas_cardinal,1997,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_golden_queen,1997,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_patricia,1997,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_perlona,1997,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_italia,1997,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_rubi_italia_italia_ro,1997,0.0,brancas_rosadas,rosadas,,,,0
tintas,1998,21638.0,tintas,,,,,1
tintas_alphonse_lavallee,1998,0.0,tintas,alphonse,,,,0
tintas_mosem_classificacaoato_de_hamburgo,1998,0.0,tintas,mosem,,,,0
brancas,1998,0.0,brancas,,,,,1
brancas_rosadas_cardinal,1998,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_golden_queen,1998,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_patricia,1998,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_perlona,1998,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_italia,1998,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_rubi_italia_italia_ro,1998,0.0,brancas_rosadas,rosadas,,,,0
tintas,1999,480.0,tintas,,,,,1
tintas_alphonse_lavallee,1999,0.0,tintas,alphonse,,,,0
tintas_mosem_classificacaoato_de_hamburgo,1999,0.0,tintas,mosem,,,,0
brancas,1999,0.0,brancas,,,,,1
